room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17175626,1526,94888836,Shared room,,Vienna,21,2106,0,0.0,1,1.0,,30.0,,2017-07-25 11:03:11.423544,48.263712,16.452036,0101000020E61000005A9D9CA1B873304008C89750C1214840
15029937,1526,33476459,Shared room,,Vienna,12,1208,9,5.0,1,1.0,,30.0,,2017-07-25 11:03:11.420613,48.171085,16.332275,0101000020E6100000454772F90F55304007EBFF1CE6154840
17260394,1526,83902260,Shared room,,Vienna,10,1022,15,4.0,1,1.0,,12.0,,2017-07-25 11:03:11.417825,48.183912,16.374733,0101000020E610000062BB7B80EE5F3040C5ABAC6D8A174840
17660159,1526,43685942,Shared room,,Vienna,05,0503,4,5.0,2,1.0,,41.0,,2017-07-25 11:03:08.661411,48.185691,16.354341,0101000020E6100000C7A17E17B65A3040AD1402B9C4174840
16248937,1526,23455985,Shared room,,Vienna,09,0906,9,4.5,4,1.0,,37.0,,2017-07-25 11:03:08.658928,48.216666,16.35601,0101000020E6100000890CAB78235B3040DB1324B6BB1B4840
19797427,1526,70792425,Shared room,,Vienna,01,0106,0,0.0,1,1.0,,13.0,,2017-07-25 11:03:08.656434,48.209477,16.368374,0101000020E61000005BB22AC24D5E3040D1217024D01A4840
13273076,1526,16345210,Shared room,,Vienna,04,0402,56,5.0,2,1.0,,22.0,,2017-07-25 11:03:08.653439,48.195592,16.372838,0101000020E6100000C0B4A84F725F3040FBAD9D2809194840
13351087,1526,7624280,Shared room,,Vienna,17,1703,5,5.0,2,1.0,,30.0,,2017-07-25 11:03:08.649829,48.222536,16.321393,0101000020E6100000D029C8CF465230406117450F7C1C4840
17696030,1526,36956902,Shared room,,Vienna,02,0206,5,5.0,2,1.0,,22.0,,2017-07-25 11:03:08.645644,48.216933,16.401223,0101000020E61000002C67EF8CB66630402A36E675C41B4840
19706164,1526,93916238,Shared room,,Vienna,07,0704,0,0.0,1,1.0,,36.0,,2017-07-25 11:03:08.642292,48.203941,16.338891,0101000020E6100000A3E8818FC156304022A81ABD1A1A4840
9995093,1526,51348631,Shared room,,Vienna,04,0403,2,0.0,1,1.0,,36.0,,2017-07-25 11:03:08.633823,48.194985,16.362864,0101000020E61000004FE5B4A7E45C3040F41ABB44F5184840
13844915,1526,75599278,Shared room,,Vienna,05,0504,11,4.0,10,1.0,,30.0,,2017-07-25 11:03:08.630606,48.187623,16.342667,0101000020E61000001E6B4606B95730401C7DCC0704184840
7512342,1526,15092328,Shared room,,Vienna,20,2002,129,4.5,1,1.0,,23.0,,2017-07-25 11:03:08.626920,48.23995,16.385777,0101000020E61000008B8C0E48C26230406D567DAEB61E4840
3202730,1526,9845203,Shared room,,Vienna,19,1904,71,4.0,15,1.0,,20.0,,2017-07-25 11:03:08.623733,48.237438,16.353326,0101000020E610000095D39E92735A3040F0694E5E641E4840
18052051,1526,124234558,Shared room,,Vienna,19,1901,8,5.0,2,1.0,,27.0,,2017-07-25 11:03:08.620817,48.255023,16.364605,0101000020E610000045F5D6C0565D3040295DFA97A4204840
9561908,1526,49505529,Shared room,,Vienna,20,2007,11,4.5,1,1.0,,16.0,,2017-07-25 11:03:08.617534,48.238047,16.381401,0101000020E610000065A9F57EA361304099F4F752781E4840
19892751,1526,109926547,Shared room,,Vienna,05,0503,1,0.0,2,1.0,,28.0,,2017-07-25 11:03:08.613777,48.186763,16.351062,0101000020E61000004CDE0033DF5930402A8D98D9E7174840
19975686,1526,35353779,Shared room,,Vienna,16,1605,0,0.0,1,1.0,,14.0,,2017-07-25 11:03:08.609219,48.218684,16.319777,0101000020E61000005303CDE7DC51304049145AD6FD1B4840
13365850,1526,75867518,Shared room,,Vienna,02,0204,2,0.0,1,1.0,,23.0,,2017-07-25 11:03:08.605582,48.2213,16.382918,0101000020E6100000BB0CFFE9066230406A4DF38E531C4840
4546616,1526,12373466,Shared room,,Vienna,12,1207,6,5.0,10,1.0,,34.0,,2017-07-25 11:03:08.602397,48.173022,16.312201,0101000020E61000004CC79C67EC4F304088BEBB9525164840
19900594,1526,116826514,Shared room,,Vienna,12,1201,0,0.0,6,1.0,,30.0,,2017-07-25 11:03:08.599554,48.185561,16.335832,0101000020E610000045F30016F9553040DF347D76C0174840
19606147,1526,137844932,Shared room,,Vienna,02,0204,1,0.0,2,1.0,,27.0,,2017-07-25 11:03:05.525367,48.218202,16.379281,0101000020E610000082FE428F18613040FDF50A0BEE1B4840
19484330,1526,22110981,Shared room,,Vienna,04,0403,3,4.0,2,1.0,,30.0,,2017-07-25 11:03:05.523066,48.195315,16.362995,0101000020E61000008D9C853DED5C304089B5F81400194840
18643484,1526,11655014,Shared room,,Vienna,02,0202,0,0.0,2,1.0,,25.0,,2017-07-25 11:03:05.520595,48.224666,16.388602,0101000020E61000000229B16B7B633040F64201DBC11C4840
19856378,1526,47784182,Shared room,,Vienna,19,1905,0,0.0,2,1.0,,18.0,,2017-07-25 11:03:05.517607,48.246,16.355689,0101000020E6100000058C2E6F0E5B3040736891ED7C1F4840
11016584,1526,56059857,Shared room,,Vienna,05,0501,18,4.5,2,1.0,,24.0,,2017-07-25 11:03:05.514704,48.195905,16.356364,0101000020E6100000C478CDAB3A5B3040BB0F406A13194840
19994775,1526,106634219,Shared room,,Vienna,20,2003,0,0.0,2,1.0,,30.0,,2017-07-25 11:03:05.512313,48.232155,16.375499,0101000020E610000043AED4B3206030402B4D4A41B71D4840
2688201,1526,9845203,Shared room,,Vienna,19,1904,80,4.0,12,1.0,,20.0,,2017-07-25 11:03:05.509538,48.236707,16.353029,0101000020E6100000228AC91B605A3040FDDD3B6A4C1E4840
19763726,1526,34135829,Shared room,,Vienna,06,0602,1,0.0,3,1.0,,30.0,,2017-07-25 11:03:05.507164,48.190342,16.351432,0101000020E610000093C49272F759304012876C205D184840
19072975,1526,133163144,Shared room,,Vienna,03,0305,6,3.0,1,1.0,,27.0,,2017-07-25 11:03:05.504389,48.192788,16.397094,0101000020E61000001570CFF3A7653040D787F546AD184840
5358412,1526,27775775,Shared room,,Vienna,15,1503,201,4.5,2,1.0,,30.0,,2017-07-25 11:03:05.501510,48.192785,16.332405,0101000020E6100000E2067C7E185530406614CB2DAD184840
13090198,1526,56332186,Shared room,,Vienna,01,0103,88,5.0,4,1.0,,36.0,,2017-07-25 11:03:05.498575,48.201537,16.375951,0101000020E610000004E621533E6030408CF7E3F6CB194840
14757170,1526,34168790,Shared room,,Vienna,05,0501,31,4.5,1,1.0,,21.0,,2017-07-25 11:03:05.495743,48.193645,16.357905,0101000020E61000002B137EA99F5B30405704FF5BC9184840
8102358,1526,11205505,Shared room,,Vienna,05,0501,30,5.0,1,1.0,,27.0,,2017-07-25 11:03:05.492380,48.192568,16.362317,0101000020E6100000EBC891CEC05C3040C9207711A6184840
19686204,1526,138666025,Shared room,,Vienna,11,1101,4,5.0,2,1.0,,20.0,,2017-07-25 11:03:05.489530,48.185381,16.417859,0101000020E6100000DA56B3CEF86A30405F268A90BA174840
18029016,1526,35353779,Shared room,,Vienna,16,1605,4,4.0,6,1.0,,14.0,,2017-07-25 11:03:05.487099,48.218467,16.319592,0101000020E6100000301004C8D0513040AB2006BAF61B4840
17402045,1526,12991863,Shared room,,Vienna,20,2006,14,4.5,1,1.0,,22.0,,2017-07-25 11:03:05.484443,48.23374,16.366122,0101000020E61000009B58E02BBA5D30402EE23B31EB1D4840
19586246,1526,132624319,Shared room,,Vienna,09,0902,3,5.0,1,1.0,,14.0,,2017-07-25 11:03:05.481875,48.2252,16.364505,0101000020E61000007E3A1E33505D30409487855AD31C4840
19898344,1526,138564740,Shared room,,Vienna,20,2002,0,0.0,3,1.0,,27.0,,2017-07-25 11:03:05.479010,48.234635,16.388803,0101000020E61000003196E997886330409CBF0985081E4840
6177997,1526,31988815,Entire home/apt,,Vienna,05,0504,0,0.0,10,4.0,,324.0,,2017-07-25 10:59:02.586912,48.187452,16.342725,0101000020E610000088855AD3BC573040EFC8586DFE174840
